"sampleID"	"preTrim"	"postTrim"	"mapped"
"97"	"20-05_S427_L007_R1_001"	2168349	1793665	1311676
"98"	"20-09_S496_L007_R1_001"	2577464	2342517	1808085
"99"	"20-15_S481_L007_R1_001"	1771082	1583707	1238222
"100"	"20-16_S428_L007_R1_001"	2227763	1946507	1420119
"101"	"20-22_S497_L007_R1_001"	2454390	2233633	1762029
"102"	"20-24_S240_L006_R1_001"	2904503	2756850	2348618
"103"	"20-29_S498_L007_R1_001"	2432216	2215076	1796968
"104"	"20-38_S499_L007_R1_001"	2687638	2481927	1836510
"105"	"20-39_S244_L006_R1_001"	3306988	3061140	2622081
"106"	"20-40_S492_L007_R1_001"	2558888	2323744	1769791
"107"	"20-53_S423_L007_R1_001"	1986176	1752945	1345106
"108"	"21-01_S445_L007_R1_001"	2138108	1955554	1389252
"109"	"21-06_S443_L007_R1_001"	2036836	1816720	1335143
"110"	"21-07_S439_L007_R1_001"	2269493	2104034	1577671
"111"	"21-11_S449_L007_R1_001"	2046911	1849793	1203254
"112"	"21-25_S467_L007_R1_001"	1696158	1548869	1238961
"113"	"21-29_S450_L007_R1_001"	2236653	1992797	1467510
"114"	"21-53_S432_L007_R1_001"	1688199	1488957	1125409
"115"	"22-01_S334_L006_R1_001"	1696258	1569871	1103016
"116"	"22-04_S335_L006_R1_001"	1843193	1708301	1308304
"117"	"22-06_S336_L006_R1_001"	1819522	1650218	1187896
"118"	"22-09_S344_L006_R1_001"	1585022	1500355	1128271
"119"	"22-12_S346_L006_R1_001"	1816184	1690975	1323546
"120"	"22-19_S341_L006_R1_001"	1227839	1168258	895749
"121"	"22-20_S339_L006_R1_001"	2110321	1901503	1406632
"122"	"22-24_S342_L006_R1_001"	1307170	1240426	950352
"123"	"22-30_S343_L006_R1_001"	1142982	1098138	885536
"124"	"22-32_S340_L006_R1_001"	1989603	1840807	1460207
"125"	"22-33_S353_L006_R1_001"	2110818	1991793	1523265
"126"	"22-35_S368_L006_R1_001"	1235025	1163498	955366
"127"	"22-39_S333_L006_R1_001"	1622458	1530094	1125755
"128"	"22-40_S464_L007_R1_001"	1264242	1158414	891588
"129"	"22-50_S338_L006_R1_001"	1931235	1762568	1353979
"130"	"22-53_S345_L006_R1_001"	1696083	1594772	1231327
"131"	"23-01_S231_L005_R1_001"	2086378	1849490	1207303
"132"	"23-04_S226_L005_R1_001"	1981170	1745554	1335829
"133"	"23-06_S229_L005_R1_001"	1812086	1628192	1243780
"134"	"23-09_S237_L005_R1_001"	1808230	1619297	1247142
"135"	"23-12_S227_L005_R1_001"	2020901	1788022	1358515
"136"	"23-15_S223_L005_R1_001"	1608254	1443006	1116386
"137"	"23-18_S219_L005_R1_001"	1833676	1628338	1157260
"138"	"23-19_S230_L005_R1_001"	1900442	1719617	1329994
"139"	"23-20_S217_L005_R1_001"	1574259	1402438	1073609
"140"	"23-24_S218_L005_R1_001"	1853540	1598260	1258730
"141"	"23-25_S224_L005_R1_001"	1547645	1381411	1099124
"142"	"23-29_S222_L005_R1_001"	2100661	1888231	1473615
"143"	"23-30_S220_L005_R1_001"	1534712	1392450	1145781
"144"	"23-32_S228_L005_R1_001"	1991304	1792273	1449069
"145"	"23-33_S245_L005_R1_001"	1816967	1641963	1291338
"146"	"23-35_S221_L005_R1_001"	1471797	1353875	1056350
"147"	"23-40_S241_L005_R1_001"	1889628	1646322	1257178
"148"	"25-19_S491_L007_R1_001"	2500634	2254129	1799239
"149"	"25-20_S484_L007_R1_001"	1924040	1705749	1327652
"150"	"26-01_S248_L005_R1_001"	1924133	1731085	1149052
"151"	"26-04_S234_L005_R1_001"	2215688	1952251	1491164
"152"	"26-06_S263_L005_R1_001"	1580054	1453673	1079532
"153"	"26-07_S251_L005_R1_001"	2353558	2100612	1503189
"154"	"26-09_S236_L005_R1_001"	1786568	1547483	1107129
"155"	"26-11_S259_L005_R1_001"	1846103	1658700	1118959
"156"	"26-12_S239_L005_R1_001"	1670524	1494239	1070178
"157"	"26-15_S238_L005_R1_001"	1491659	1349334	1022956
"158"	"26-18_S257_L005_R1_001"	2075566	1834713	1372199
"159"	"26-19_S246_L005_R1_001"	1877768	1701453	1325231
"160"	"26-20_S261_L005_R1_001"	1839070	1669925	1205088
"161"	"26-22_S242_L005_R1_001"	1855329	1629451	1225121
"162"	"26-23_S247_L005_R1_001"	1636841	1479040	1115300
"163"	"26-24_S235_L005_R1_001"	2241254	1922736	1369566
"164"	"26-29_S256_L005_R1_001"	1530134	1402704	1009362
"165"	"26-32_S243_L005_R1_001"	2157430	1891986	1419078
"166"	"26-33_S240_L005_R1_001"	1788068	1604966	1211679
"167"	"26-35_S244_L005_R1_001"	1927547	1709661	1301133
"168"	"26-38_S260_L005_R1_001"	2070400	1905572	1525476
"169"	"26-39_S262_L005_R1_001"	1487583	1376649	1072486
"170"	"26-40_S250_L005_R1_001"	2408672	2149296	1636328
"171"	"26-50_S258_L005_R1_001"	1962881	1771902	1195138
"172"	"26-54_S253_L005_R1_001"	2000464	1810684	1278451
"173"	"26-55_S233_L005_R1_001"	1904483	1655953	1316744
"174"	"27-01_S264_L005_R1_001"	1398959	1289713	925026
"175"	"27-04_S269_L005_R1_001"	1889499	1761923	1314750
"176"	"27-05_S266_L005_R1_001"	1611090	1454193	999541
"177"	"27-06_S265_L005_R1_001"	1439296	1309228	956475
"178"	"27-07_S249_L005_R1_001"	2077556	1844999	1391967
